id,rating
0,3.62
1,3.65
2,3.63
3,3.67
4,3.61
5,3.61
6,3.69
7,3.64
8,3.57
9,3.63
10,3.3
11,3.34
12,3.31
13,3.32
14,3.37
15,3.3
16,3.31
17,3.23
18,3.28
19,3.35
20,4.3
21,4.2
22,4.16
23,4.18
24,4.2
25,4.29
26,4.29
27,4.15
28,4.17
29,4.19
30,3.5
31,3.52
32,3.52
33,3.52
34,3.5
35,3.48
36,3.47
37,3.52
38,3.46
39,3.49
40,3.91
41,3.92
42,3.89
43,3.88
44,3.89
45,3.94
46,3.9
47,3.89
48,3.94
49,3.79
50,3.87
51,3.82
52,3.95
53,3.84
54,3.85
55,3.83
56,3.85
57,3.83
58,3.83
59,3.86
60,3.0
61,2.97
62,2.98
63,3.01
64,3.01
65,3.02
66,3.0
67,3.2
68,3.15
69,3.07
70,3.7
71,3.72
72,3.73
73,3.73
74,3.8
75,3.76
76,3.97
77,3.95
78,3.83
79,3.72
80,4.16
81,4.18
82,4.16
83,4.15
84,4.16
85,4.15
86,4.2
87,4.17
88,4.16
89,4.33
90,3.83
91,3.82
92,3.85
93,3.81
94,3.84
95,3.82
96,3.88
97,3.85
98,3.85
99,3.85
100,4.23
101,4.23
102,4.17
103,4.22
104,4.22
105,4.28
106,4.33
107,4.23
108,4.28
109,4.23
110,3.38
111,3.45
112,3.38
113,3.53
114,3.44
115,3.37
116,3.47
117,3.44
118,3.43
119,3.44
120,4.12
121,4.12
122,4.14
123,4.12
124,4.12
125,4.17
126,4.13
127,4.15
128,4.13
129,4.13
130,3.99
131,3.99
132,3.96
133,3.96
134,4.01
135,3.99
136,3.98
137,3.98
138,4.0
139,4.08
140,0
141,0
142,0
143,0
144,0
145,2.88
146,2.89
147,2.95
148,3.18
149,2.89
150,4.11
151,4.11
152,4.1
153,4.11
154,4.3
155,3.74
156,3.76
157,3.75
158,3.74
159,3.78
160,3.92
161,4.0
162,3.95
163,3.93
164,3.95
165,3.95
166,3.93
167,3.93
168,3.99
169,3.96
170,3.8
171,3.79
172,3.79
173,3.78
174,3.79
175,3.78
176,3.79
177,3.89
178,3.78
179,3.75
180,3.86
181,3.83
182,3.86
183,3.88
184,3.86
185,3.88
186,3.84
187,3.86
188,3.84
189,3.87
190,4.09
191,4.2
192,4.27
193,4.17
194,4.16
195,4.2
196,4.14
197,4.14
198,4.23
199,4.18
200,4.14
201,4.23
202,4.09
203,4.06
204,4.13
205,4.12
206,4.05
207,4.06
208,4.33
209,4.03
210,4.1
211,4.14
212,3.95
213,3.98
214,3.99
215,3.98
216,3.9
217,3.97
218,3.98
219,3.95
220,4.47
221,4.47
222,4.4
223,4.47
224,4.58
225,4.62
226,4.48
227,4.48
228,4.52
229,4.48
230,4.24
231,4.3
232,4.24
233,4.26
234,4.26
235,4.23
236,4.25
237,4.23
238,4.24
239,4.25
240,4.03
241,3.96
242,3.95
243,4.08
244,4.0
245,4.07
246,4.12
247,4.0
248,3.98
249,4.08
250,3.97
251,4.03
252,4.11
253,4.12
254,4.03
255,3.97
256,3.97
257,3.97
258,3.99
259,4.01
260,4.09
261,4.04
262,4.04
263,4.02
264,4.02
265,4.02
266,4.01
267,4.0
268,4.06
269,3.98
270,3.52
271,3.5
272,3.5
273,3.52
274,3.51
275,3.5
276,3.5
277,3.51
278,3.5
279,3.51
280,3.92
281,3.92
282,3.93
283,3.94
284,3.94
285,3.94
286,3.94
287,3.89
288,3.94
289,3.95
290,4.26
291,4.29
292,4.22
293,4.23
294,4.24
295,4.23
296,4.26
297,4.24
298,4.25
299,4.23
300,3.44
301,3.41
302,3.42
303,3.57
304,3.4
305,3.42
306,3.43
307,3.4
308,3.42
309,3.43
310,3.22
311,3.19
312,3.18
313,3.2
314,3.21
315,3.19
316,3.2
317,3.19
318,3.21
319,3.2
320,2.74
321,2.71
322,2.72
323,2.72
324,2.73
325,2.72
326,2.71
327,2.72
328,2.78
329,2.86
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,3.31
339,3.48
340,3.42
341,3.39
342,3.45
343,3.44
344,3.4
345,3.41
346,3.45
347,3.45
348,3.44
349,3.45
350,3.61
351,3.61
352,3.61
353,3.6
354,3.6
355,3.61
356,3.6
357,3.62
358,3.56
359,3.62
360,4.0
361,4.01
362,4.03
363,4.01
364,4.03
365,4.03
366,4.01
367,3.96
368,4.0
369,4.04
370,4.2
371,4.19
372,4.22
373,4.16
374,4.2
375,4.19
376,4.16
377,4.21
378,4.2
379,4.24
380,3.93
381,3.92
382,3.92
383,3.92
384,3.91
385,3.94
386,3.91
387,3.92
388,3.92
389,3.92
390,4.2
391,4.18
392,4.27
393,4.29
394,4.2
395,4.27
396,4.19
397,4.21
398,4.22
399,4.19
400,3.59
401,3.58
402,3.59
403,3.58
404,3.6
405,3.43
406,3.58
407,3.51
408,3.58
409,3.59
410,3.08
411,3.08
412,3.09
413,3.08
414,3.08
415,3.08
416,3.08
417,3.08
418,3.06
419,3.1
420,3.66
421,3.67
422,3.66
423,3.66
424,3.66
425,3.65
426,3.64
427,3.65
428,3.62
429,3.67
430,2.13
431,2.2
432,2.27
433,2.19
434,2.19
435,2.19
436,2.18
437,2.17
438,2.17
439,2.21
440,4.45
441,4.45
442,4.45
443,4.41
444,4.35
445,4.48
446,4.45
447,4.82
448,4.48
449,4.57
450,4.05
451,4.06
452,4.07
453,4.05
454,4.08
455,4.05
456,4.08
457,4.07
458,4.05
459,4.08
460,3.52
461,3.51
462,3.51
463,3.51
464,3.51
465,3.51
466,3.49
467,3.5
468,3.51
469,3.5
470,2.9
471,2.89
472,2.91
473,2.93
474,2.91
475,2.95
476,3.02
477,2.91
478,2.91
479,2.86
480,3.34
481,3.27
482,3.23
483,3.25
484,3.27
485,3.16
486,3.16
487,3.2
488,3.17
489,3.17
490,3.62
491,3.55
492,3.58
493,3.63
494,3.61
495,3.6
496,3.6
497,3.62
498,3.63
499,3.62
500,3.54
501,3.54
502,3.53
503,3.62
504,3.52
505,3.55
506,3.53
507,3.52
508,3.61
509,3.53
510,3.83
511,3.82
512,3.83
513,3.84
514,3.81
515,3.82
516,3.79
517,3.76
518,3.79
519,3.86
520,3.47
521,3.68
522,3.49
523,3.43
524,3.4
525,3.44
526,3.53
527,3.41
528,3.43
529,3.49
530,3.44
531,3.42
532,3.39
533,3.56
534,3.46
535,3.41
536,3.48
537,3.48
538,3.56
539,3.49
540,3.8
541,3.67
542,3.79
543,3.81
544,3.79
545,3.79
546,3.75
547,3.78
548,3.83
549,3.77
550,3.77
551,3.7
552,3.74
553,3.73
554,3.74
555,3.72
556,3.7
557,3.72
558,3.7
559,3.72
560,3.28
561,3.27
562,3.27
563,3.26
564,3.38
565,3.27
566,3.28
567,3.28
568,3.25
569,3.31
570,3.53
571,3.35
572,3.3
573,3.47
574,3.55
575,3.51
576,3.31
577,3.32
578,3.35
579,3.39
580,3.43
581,3.63
582,3.63
583,3.6
584,3.57
585,3.57
586,3.66
587,3.73
588,3.66
589,3.63
590,4.15
591,4.14
592,4.24
593,4.12
594,4.16
595,4.15
596,4.24
597,4.15
598,4.17
599,4.09
600,3.43
601,3.56
602,3.55
603,3.47
604,3.43
605,3.51
606,3.47
607,3.55
608,3.46
609,3.54
610,3.58
611,3.5
612,3.55
613,3.51
614,3.49
615,3.6
616,3.5
617,3.51
618,3.51
619,3.51
620,3.63
621,3.69
622,3.67
623,3.59
624,3.68
625,3.68
626,3.66
627,3.65
628,3.71
629,3.66
630,3.6
631,3.64
632,3.6
633,3.61
634,3.59
635,3.59
636,3.58
637,3.55
638,3.56
639,3.56
640,3.7
641,3.88
642,3.79
643,3.71
644,3.69
645,3.74
646,3.71
647,3.71
648,3.68
649,3.63
650,3.2
651,3.2
652,3.22
653,3.2
654,3.21
655,3.21
656,3.22
657,3.2
658,3.22
659,3.16
660,3.66
661,3.65
662,3.64
663,3.66
664,3.64
665,3.69
666,3.69
667,3.8
668,3.67
669,3.67
670,4.34
671,4.35
672,4.35
673,4.35
674,4.31
675,4.37
676,4.36
677,4.35
678,4.38
679,4.39
680,3.05
681,2.83
682,2.88
683,2.81
684,2.78
685,2.83
686,2.83
687,2.82
688,2.8
689,3.0
690,3.57
691,3.57
692,3.54
693,3.59
694,3.56
695,3.59
696,3.57
697,3.57
698,3.58
699,3.47
700,4.13
701,4.13
702,4.14
703,4.14
704,4.1
705,4.13
706,4.16
707,4.13
708,4.13
709,4.14
710,4.29
711,4.25
712,4.29
713,4.29
714,4.28
715,4.28
716,4.29
717,4.29
718,4.29
719,4.31
720,3.81
721,3.81
722,3.81
723,3.82
724,3.8
725,3.82
726,3.82
727,3.8
728,3.82
729,3.8
730,3.41
731,3.45
732,3.43
733,3.44
734,3.5
735,3.45
736,3.45
737,3.46
738,3.5
739,3.4
740,4.22
741,4.22
742,4.18
743,4.22
744,4.23
745,4.16
746,4.23
747,4.24
748,4.3
749,4.16
750,3.23
751,3.24
752,3.22
753,3.21
754,3.21
755,3.22
756,3.22
757,3.23
758,3.21
759,3.2
760,3.61
761,3.6
762,3.59
763,3.59
764,3.62
765,3.59
766,3.58
767,3.54
768,3.67
769,3.59
770,3.61
771,3.6
772,3.6
773,3.61
774,3.61
775,3.73
776,3.61
777,3.62
778,3.66
779,3.6
780,4.12
781,3.87
782,3.84
783,3.86
784,3.86
785,3.85
786,3.87
787,3.85
788,3.78
789,3.85
790,3.92
791,3.94
792,3.95
793,3.92
794,3.98
795,3.96
796,3.96
797,3.95
798,3.94
799,3.94
800,4.16
801,4.13
802,4.15
803,4.16
804,4.16
805,4.17
806,4.04
807,4.14
808,4.15
809,4.17
810,3.52
811,3.52
812,3.5
813,3.52
814,3.52
815,3.55
816,3.5
817,3.58
818,3.53
819,3.51
820,4.21
821,4.35
822,4.21
823,4.31
824,4.46
825,4.2
826,4.19
827,4.18
828,4.22
829,4.17
830,3.29
831,3.3
832,3.28
833,3.27
834,3.27
835,3.29
836,3.28
837,3.26
838,3.42
839,3.25
840,4.1
841,4.05
842,4.04
843,4.07
844,4.03
845,4.08
846,4.03
847,4.03
848,4.05
849,4.05
850,4.63
851,4.64
